order_id,order_date,Full_Name,city,state,zip_code,product_id,product_name,category_name,brand_name,quantity,list_price,discount,Revenue,staff_id,Staff_FullName,store_id,store_name,StoreCity,StoreState,StoreZip
15,1/9/16,Ellsworth Michael,Carmel,NY,10512,12,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.07,1099.91,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
15,1/9/16,Ellsworth Michael,Carmel,NY,10512,18,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,2,449,0.05,897.95,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
15,1/9/16,Ellsworth Michael,Carmel,NY,10512,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.2,599.78,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
16,1/12/16,Lea Key,Banning,CA,92220,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.2,1799.79,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
16,1/12/16,Lea Key,Banning,CA,92220,13,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,2,269.99,0.07,539.91,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
16,1/12/16,Lea Key,Banning,CA,92220,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.07,269.92,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
16,1/12/16,Lea Key,Banning,CA,92220,21,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,1,269.99,0.05,269.94,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
17,1/12/16,Sindy Anderson,Pomona,CA,91768,5,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.1,1320.89,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
17,1/12/16,Sindy Anderson,Pomona,CA,91768,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,1799.92,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
17,1/12/16,Sindy Anderson,Pomona,CA,91768,20,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.2,1199.78,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
17,1/12/16,Sindy Anderson,Pomona,CA,91768,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,1,299.99,0.1,299.89,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
18,1/14/16,Lanita Burton,Coachella,CA,92236,2,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,2,749.99,0.2,1499.78,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
18,1/14/16,Lanita Burton,Coachella,CA,92236,7,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.1,3999.89,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
18,1/14/16,Lanita Burton,Coachella,CA,92236,9,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.1,5999.88,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
18,1/14/16,Lanita Burton,Coachella,CA,92236,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,269.94,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
18,1/14/16,Lanita Burton,Coachella,CA,92236,25,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.05,999.93,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
19,1/14/16,Norine Huffman,Encino,CA,91316,9,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.2,5999.78,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
19,1/14/16,Norine Huffman,Encino,CA,91316,10,Surly Straggler - 2016,Cyclocross Bicycles,Surly,1,1549,0.07,1548.93,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
20,1/14/16,Randee Pitts,Canyon Country,CA,91387,9,Trek Conduit+ - 2016,Electric Bikes,Trek,1,2999.99,0.07,2999.92,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
20,1/14/16,Randee Pitts,Canyon Country,CA,91387,10,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.07,3097.93,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
21,1/15/16,Neoma Daugherty,Mount Vernon,NY,10550,10,Surly Straggler - 2016,Cyclocross Bicycles,Surly,1,1549,0.07,1548.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
21,1/15/16,Neoma Daugherty,Mount Vernon,NY,10550,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.05,269.94,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
21,1/15/16,Neoma Daugherty,Mount Vernon,NY,10550,17,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429,0.1,428.9,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
22,1/16/16,Tangela Hurley,Campbell,CA,95008,15,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,2,529.99,0.2,1059.78,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
22,1/16/16,Tangela Hurley,Campbell,CA,95008,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,269.94,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
23,1/16/16,Drucilla Gilliam,Santa Clara,CA,95050,4,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2,2899.99,0.05,5799.93,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
23,1/16/16,Drucilla Gilliam,Santa Clara,CA,95050,13,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.2,269.79,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
23,1/16/16,Drucilla Gilliam,Santa Clara,CA,95050,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.1,599.88,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
24,1/18/16,Ashton Lott,Floral Park,NY,11001,3,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.1,1999.88,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
24,1/18/16,Ashton Lott,Floral Park,NY,11001,18,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,2,449,0.07,897.93,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
25,1/18/16,Sam Lester,Baldwin,NY,11510,10,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.2,3097.8,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
25,1/18/16,Sam Lester,Baldwin,NY,11510,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.2,269.79,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
25,1/18/16,Sam Lester,Baldwin,NY,11510,21,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,1,269.99,0.1,269.89,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
25,1/18/16,Sam Lester,Baldwin,NY,11510,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.2,269.79,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
25,1/18/16,Sam Lester,Baldwin,NY,11510,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.2,599.78,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
26,1/18/16,Jackeline Colon,Wappingers Falls,NY,12590,2,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,1,749.99,0.2,749.79,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
26,1/18/16,Jackeline Colon,Wappingers Falls,NY,12590,7,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.05,3999.94,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
26,1/18/16,Jackeline Colon,Wappingers Falls,NY,12590,12,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,1,549.99,0.2,549.79,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
26,1/18/16,Jackeline Colon,Wappingers Falls,NY,12590,21,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.07,539.91,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
27,1/19/16,Pamala Henry,Bronx,NY,10451,5,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.2,1320.79,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
27,1/19/16,Pamala Henry,Bronx,NY,10451,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,1799.92,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
27,1/19/16,Pamala Henry,Bronx,NY,10451,19,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,449,0.2,448.8,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
27,1/19/16,Pamala Henry,Bronx,NY,10451,26,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,2,599.99,0.07,1199.91,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
28,1/19/16,Eleni Gordon,Richmond Hill,NY,11418,5,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.05,1320.94,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
28,1/19/16,Eleni Gordon,Richmond Hill,NY,11418,6,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.05,469.94,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
28,1/19/16,Eleni Gordon,Richmond Hill,NY,11418,7,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.2,7999.78,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
28,1/19/16,Eleni Gordon,Richmond Hill,NY,11418,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,2,269.99,0.1,539.88,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
29,1/20/16,Laureen Barry,Orchard Park,NY,14127,6,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.2,469.79,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
29,1/20/16,Laureen Barry,Orchard Park,NY,14127,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.2,1799.79,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
29,1/20/16,Laureen Barry,Orchard Park,NY,14127,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,2,269.99,0.05,539.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
29,1/20/16,Laureen Barry,Orchard Park,NY,14127,21,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.1,539.88,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
29,1/20/16,Laureen Barry,Orchard Park,NY,14127,24,Electra Townie Original 21D - 2016,Comfort Bicycles,Electra,2,549.99,0.05,1099.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
30,1/20/16,Yvone Guerrero,Merrick,NY,11566,4,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,1,2899.99,0.1,2899.89,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
30,1/20/16,Yvone Guerrero,Merrick,NY,11566,7,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.1,7999.88,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
30,1/20/16,Yvone Guerrero,Merrick,NY,11566,17,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429,0.07,428.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
30,1/20/16,Yvone Guerrero,Merrick,NY,11566,19,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,449,0.1,448.9,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
30,1/20/16,Yvone Guerrero,Merrick,NY,11566,26,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,1,599.99,0.05,599.94,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
31,1/20/16,Edgar Quinn,Harlingen,TX,78552,9,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.2,5999.78,8,KaliVargas,3,Rowlett Bikes,Rowlett,TX,75088
31,1/20/16,Edgar Quinn,Harlingen,TX,78552,11,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,2,1680.99,0.05,3361.93,8,KaliVargas,3,Rowlett Bikes,Rowlett,TX,75088
32,1/21/16,Kimbery Nieves,San Carlos,CA,94070,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,3599.91,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
32,1/21/16,Kimbery Nieves,San Carlos,CA,94070,12,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.07,1099.91,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
32,1/21/16,Kimbery Nieves,San Carlos,CA,94070,25,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.1,999.88,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
33,1/21/16,Verona O'neill,Selden,NY,11784,7,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.1,3999.89,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
33,1/21/16,Verona O'neill,Selden,NY,11784,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.07,599.91,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
34,1/22/16,Sarai Mckee,Buffalo,NY,14215,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,3599.91,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
34,1/22/16,Sarai Mckee,Buffalo,NY,14215,10,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.1,3097.9,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
34,1/22/16,Sarai Mckee,Buffalo,NY,14215,17,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429,0.2,857.8,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
35,1/22/16,Neville Mcclain,West Hempstead,NY,11552,5,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.2,1320.79,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
35,1/22/16,Neville Mcclain,West Hempstead,NY,11552,18,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,1,449,0.05,448.95,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
35,1/22/16,Neville Mcclain,West Hempstead,NY,11552,20,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1199.93,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
35,1/22/16,Neville Mcclain,West Hempstead,NY,11552,21,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.07,539.91,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
35,1/22/16,Neville Mcclain,West Hempstead,NY,11552,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.07,269.92,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
36,1/23/16,Shantel Gregory,West Islip,NY,11795,3,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.2,1999.78,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
36,1/23/16,Shantel Gregory,West Islip,NY,11795,5,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.05,1320.94,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
36,1/23/16,Shantel Gregory,West Islip,NY,11795,9,Trek Conduit+ - 2016,Electric Bikes,Trek,1,2999.99,0.07,2999.92,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
37,1/25/16,Tomika Larson,Woodside,NY,11377,16,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1199.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
38,1/25/16,Lashandra Turner,Long Beach,NY,11561,7,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.05,7999.93,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
38,1/25/16,Lashandra Turner,Long Beach,NY,11561,10,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.1,3097.9,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
38,1/25/16,Lashandra Turner,Long Beach,NY,11561,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,1,299.99,0.07,299.92,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
38,1/25/16,Lashandra Turner,Long Beach,NY,11561,24,Electra Townie Original 21D - 2016,Comfort Bicycles,Electra,1,549.99,0.07,549.92,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
38,1/25/16,Lashandra Turner,Long Beach,NY,11561,25,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,1,499.99,0.2,499.79,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
39,1/25/16,Travis Whitley,Saint Albans,NY,11412,3,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.05,1999.93,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
